Clube,PAIS,TOP 100 Jogadores ,Jogos,Gols,Sel. Jogos,Sel. Gol,World Cup,Eurocopa/ Champions/ Copa América,Eur. League/Olimpiadas/Copa da Africa/Copa Confederações/ Nations League,Campeonatos,Copas/ Nacionais Fracos / Rio-SP,Dif. Época,Pts,,Média Gols,Média Seleção,Ano,POSIÇÃO,
Santos,BRASIL,Pelé,763,707,114,95,3,2,,6,4,1,124553,,0.93,0.83,60,ATA,
Barcelona,ARGENTINA,Messi,811,683,164,90,1,5,1,11,7,1,119611,,0.84,0.55,10,ATA,
Bayern Munique,ALEMANHA,Gerd Muller,707,652,62,68,1,4,1,4,4,1,104042,,0.92,1.10,70,ATA,
Real Madrid,PORTUGAL,Cristiano Ronaldo,898,678,180,111,,6,,7,4,1,101993,,0.76,0.62,10,ATA,
Vasco,BRASIL,Romário,886,679,70,56,1,2,2,6,3,1,94627,,0.77,0.80,90,ATA,
Ajax,HOLANDA,Cruijff,660,514,48,33,,3,,10,7,1.2,90658,,0.78,0.69,70,MA,
Real Madrid,ESPANHA,Di Stefano,669,487,41,29,,6,,13,3,0.9,86059,,0.73,0.71,50,ATA,
Benfica,PORTUGAL,Eusébio,749,766,64,41,,1,,11,5,1,85538,,1.02,0.64,60,ATA,
Real Madrid,HUNGARY,Puskas,629,621,85,84,,3,1,5,1,0.9,80886,,0.99,0.99,50,ATA,
Real Madrid,BRASIL,Ronaldo,616,414,105,67,1,2,2,2,4,1,77958,,0.67,0.64,90,ATA,
Bayern Munique,POLÔNIA,Lewandowski,722,540,134,76,,1,,10,5,1,76601,,0.75,0.57,10,ATA,
PSG,BRASIL,Neymar,553,342,121,75,,2,1,6,5,1.2,76577,,0.62,0.62,10,MA,
Real Madrid,BRASIL,Roberto Carlos,984,128,126,12,1,6,,6,1,3,76568,,0.13,0.10,0,LAT,
Flamengo,BRASIL,Zico,860,595,88,66,,1,,4,1,1.2,74791,,0.69,0.75,80,MA,
Napoli,ARGENTINA,Maradona,590,400,91,34,1,1,1,3,2,1.4,74667,,0.68,0.37,80,MEI,
PSG,SUÉCIA,Ibrahimovic,831,502,116,62,,,1,13,4,1,72647,,0.60,0.53,10,ATA,
Barcelona,ESPANHA,Xavi,878,110,133,13,1,6,,8,3,2,71337,,0.13,0.10,0,VOL,
Barcelona,URUGUAI,Luis Suarez,716,451,130,67,,2,,5,8,1,70280,,0.63,0.52,10,ATA,
Internazionale,ITÁLIA,Giuseppe Meazza,652,592,45,50,2,,,3,1,0.7,69677,,0.91,1.11,40,OUTROS,
Barcelona,ESPANHA,Iniesta,654,57,131,13,1,6,,9,6,1.4,67787,,0.09,0.10,0,MEI,
Barcelona,BRASIL,Ronaldinho Gaucho,776,278,97,34,1,3,1,4,,1.4,68775,,0.36,0.35,0,MEI,
Arsenal,FRANÇA,Henry,792,360,123,51,1,2,,6,4,1,68764,,0.45,0.41,0,ATA,
Santos,BRASIL,Pepe,750,405,40,22,1,2,,6,4,1,68730,,0.54,0.55,60,ATA,
Barcelona,CAMARÕES,Eto'o,764,371,118,56,,3,3,4,4,1,67584,,0.49,0.47,0,ATA,
Valencia,ESPANHA,David Villa,765,381,98,59,1,2,,3,3,1,67155,,0.50,0.60,0,ATA,
Barcelona,BRASIL,Rivaldo,868,456,74,37,1,2,,4,2,1,66513,,0.53,0.50,90,ATA,
Real Madrid,FRANÇA,Benzema,606,323,94,36,,5,,8,3,1,66441,,0.53,0.38,10,ATA,
Barcelona,BRASIL,Dani Alves,786,53,118,8,,5,2,10,7,3,65673,,0.07,0.07,0,LAT,
Santos,BRASIL,Coutinho,457,368,15,6,1,2,,5,4,1,63463,,0.81,0.40,60,ATA,
Real Madrid,ESPANHA,Gento,620,180,43,5,,6,,12,2,1.4,62870,,0.29,0.12,50,MEI,
Real Madrid,ESPANHA,Raúl,940,404,102,44,,3,,6,5,1,62655,,0.43,0.43,0,ATA,
Bayern Munique,ALEMANHA,Schweinsteiger,619,78,121,24,1,1,,8,8,2,61449,,0.13,0.20,0,VOL,
Roma,BRASIL,Cafu,777,63,149,5,1,5,3,3,1,3,60669,,0.08,0.03,90,LAT,
Botafogo,BRASIL,Garrincha,703,278,60,17,2,,,3,3,1.2,60137,,0.40,0.28,60,MA,
Vasco,BRASIL,Bebeto,624,359,76,40,1,1,,3,3,1,60021,,0.58,0.53,80,ATA,
Bayern Munique,ALEMANHA,Lothar Matthaus,596,161,150,23,1,1,2,8,3,1.4,59789,,0.27,0.15,90,MEI,
Real Madrid,MÉXICO,Hugo Sanchez,823,487,58,29,,,3,7,2,1,59337,,0.59,0.50,80,ATA,
Bayern Munique,HOLANDA,Robben,606,210,96,37,,1,,12,6,1.2,59149,,0.35,0.39,0,MA,
Milan,SUÉCIA,Nordahl,528,453,33,43,,2,1,2,4,0.8,59121,,0.86,1.30,40,OUTROS,
Botafogo,BRASIL,Didi,755,247,75,21,2,,,1,4,1.26,58184,,0.33,0.28,50,OUTROS,
Real Madrid,FRANÇA,Zidane,724,154,108,31,1,2,2,3,,1.6,57424,,0.21,0.29,90,MC,
Milan,HOLANDA,Van Basten,373,277,58,24,,3,1,6,3,1,56881,,0.74,0.41,80,ATA,
Juventus,FRANÇA,Platini,580,312,72,41,,2,1,3,1,1.2,56509,,0.54,0.57,80,MA,
Chelsea,INGLATERRA,Lampard,913,274,106,29,,1,2,3,4,1.6,56415,,0.30,0.27,0,MC,
